time	routeID
0	350
1	314
2	
3	228
4	243
5	225
6	
7	333
8	317
9	
10	213
11	202
12	250
13	
14	339
15	339
16	
17	256
18	302
19	280
20	
21	324
22	338
23	
24	214
25	201
26	245
27	
28	338
29	347
30	
31	207
32	216
33	238
34	
35	327
36	338
37	
38	209
39	254
40	219
41	
42	284
43	327
44	
45	241
46	266
47	205
48	
49	348
50	288
51	
52	280
53	229
54	272
55	
56	326
57	337
58	
59	273
60	244
61	262
62	
63	348
64	347
65	
66	201
67	223
68	215
69	
70	312
71	315
72	
73	269
74	293
75	261
76	
77	347
78	341
79	
80	238
81	206
82	202
83	
84	331
85	319
86	
87	240
88	292
89	277
90	
91	318
92	284
93	
94	219
95	279
96	258
97	
98	345
99	340
100	
101	221
102	242
103	223
104	
105	330
106	336
107	
108	208
109	247
110	274
111	
112	319
113	286
114	
115	268
116	292
117	108
118	
119	313
120	311
121	
122	310
123	210
124	242
125	
126	312
127	322
128	
129	207
130	201
131	213
132	
133	344
134	342
135	
136	247
137	205
138	212
139	
140	326
141	329
142	
143	303
144	266
145	210
146	
147	316
148	282
149	
150	211
151	302
152	226
153	
154	329
155	347
156	
157	308
158	293
159	226
160	
161	328
162	327
163	
164	229
165	235
166	302
167	
168	282
169	347
170	
171	304
172	207
173	268
174	
175	341
176	335
177	
178	271
179	220
180	251
181	
182	339
183	331
184	
185	250
186	279
187	210
188	
189	346
190	345
191	
192	234
193	227
194	220
195	
