time	routeID
0	340
1	341
2	
3	280
4	309
5	215
6	
7	339
8	340
9	
10	310
11	208
12	261
13	
14	317
15	338
16	
17	230
18	222
19	258
20	
21	338
22	338
23	
24	236
25	203
26	216
27	
28	286
29	341
30	
31	229
32	269
33	308
34	
35	335
36	290
37	
38	220
39	202
40	261
41	
42	323
43	346
44	
45	254
46	238
47	301
48	
49	335
50	287
51	
52	210
53	209
54	242
55	
56	328
57	348
58	
59	214
60	302
61	304
62	
63	337
64	330
65	
66	231
67	256
68	293
69	
70	286
71	318
72	
73	310
74	276
75	308
76	
77	341
78	330
79	
80	210
81	249
82	240
83	
84	313
85	347
86	
87	272
88	269
89	294
90	
91	319
92	339
93	
94	228
95	269
96	243
97	
98	331
99	290
100	
101	256
102	291
103	277
104	
105	322
106	334
107	
108	258
109	234
110	233
111	
112	327
113	347
114	
115	310
116	275
117	218
118	
119	315
120	322
121	
122	207
123	208
124	299
125	
126	311
127	284
128	
129	297
130	232
131	252
132	
133	319
134	338
135	
136	304
137	274
138	237
139	
140	342
141	317
142	
143	209
144	306
145	293
146	
147	347
148	325
149	
150	219
151	303
152	297
153	
154	283
155	334
156	
157	272
158	219
159	306
160	
161	289
162	335
163	
164	258
165	248
166	205
167	
168	346
169	323
170	
171	239
172	216
173	269
174	
175	347
176	323
177	
178	265
179	220
180	235
181	
182	342
183	288
184	
185	274
186	212
187	293
188	
189	323
190	348
191	
192	278
193	256
194	212
195	
