time	routeID
0	282
1	335
2	
3	218
4	277
5	254
6	
7	290
8	344
9	
10	224
11	266
12	298
13	
14	331
15	340
16	
17	229
18	222
19	216
20	
21	330
22	337
23	
24	259
25	272
26	253
27	
28	343
29	339
30	
31	212
32	222
33	270
34	
35	288
36	315
37	
38	305
39	201
40	234
41	
42	314
43	338
44	
45	244
46	207
47	230
48	
49	343
50	290
51	
52	211
53	255
54	227
55	
56	330
57	327
58	
59	264
60	205
61	226
62	
63	323
64	331
65	
66	227
67	257
68	292
69	
70	318
71	337
72	
73	268
74	215
75	227
76	
77	344
78	342
79	
80	310
81	247
82	299
83	
84	317
85	281
86	
87	295
88	208
89	235
90	
91	345
92	286
93	
94	271
95	305
96	294
97	
98	337
99	284
100	
101	229
102	240
103	204
104	
105	315
106	313
107	
108	269
109	275
110	213
111	
112	348
113	329
114	
115	306
116	228
117	301
118	
119	285
120	282
121	
122	250
123	233
124	299
125	
126	349
127	284
128	
129	232
130	295
131	300
132	
133	342
134	287
135	
136	224
137	201
138	303
139	
140	345
141	315
142	
143	276
144	217
145	292
146	
147	311
148	323
149	
150	209
151	206
152	295
153	
154	290
155	148
156	
157	259
158	269
159	280
160	
161	350
162	336
163	
164	291
165	212
166	221
167	
168	347
169	323
170	
171	291
172	268
173	233
174	
175	345
176	330
177	
178	202
179	297
180	296
181	
182	290
183	326
184	
185	208
186	266
187	273
188	
189	286
190	316
191	
192	279
193	269
194	247
195	
