time	routeID
0	313
1	346
2	
3	307
4	228
5	277
6	
7	341
8	317
9	
10	221
11	296
12	206
13	
14	281
15	344
16	
17	242
18	204
19	245
20	
21	338
22	349
23	
24	217
25	235
26	229
27	
28	286
29	347
30	
31	235
32	229
33	222
34	
35	311
36	342
37	
38	224
39	201
40	274
41	
42	348
43	337
44	
45	204
46	216
47	257
48	
49	339
50	323
51	
52	223
53	221
54	222
55	
56	342
57	283
58	
59	242
60	223
61	276
62	
63	323
64	325
65	
66	306
67	307
68	244
69	
70	321
71	330
72	
73	270
74	298
75	240
76	
77	312
78	330
79	
80	257
81	201
82	307
83	
84	326
85	337
86	
87	205
88	203
89	303
90	
91	323
92	283
93	
94	237
95	234
96	249
97	
98	349
99	290
100	
101	260
102	269
103	261
104	
105	315
106	324
107	
108	302
109	294
110	227
111	
112	315
113	288
114	
115	215
116	236
117	229
118	
119	325
120	339
121	
122	207
123	237
124	251
125	
126	290
127	283
128	
129	211
130	307
131	264
132	
133	332
134	317
135	
136	208
137	256
138	247
139	
140	316
141	342
142	
143	294
144	305
145	268
146	
147	281
148	318
149	
150	291
151	218
152	276
153	
154	323
155	335
156	
157	299
158	249
159	230
160	
161	283
162	281
163	
164	232
165	237
166	241
167	
168	332
169	287
170	
171	257
172	219
173	256
174	
175	342
176	287
177	
178	270
179	230
180	276
181	
182	324
183	333
184	
185	292
186	305
187	351
188	
189	333
190	340
191	
192	274
193	254
194	228
195	
