time	routeID
0	311
1	336
2	
3	276
4	277
5	242
6	
7	334
8	284
9	
10	232
11	230
12	247
13	
14	340
15	349
16	
17	308
18	244
19	205
20	
21	336
22	319
23	
24	274
25	254
26	215
27	
28	311
29	282
30	
31	219
32	245
33	229
34	
35	318
36	336
37	
38	217
39	251
40	222
41	
42	283
43	322
44	
45	256
46	253
47	270
48	
49	287
50	337
51	
52	239
53	208
54	233
55	
56	336
57	312
58	
59	203
60	221
61	220
62	
63	328
64	312
65	
66	307
67	210
68	243
69	
70	281
71	328
72	
73	226
74	247
75	216
76	
77	289
78	342
79	
80	299
81	225
82	202
83	
84	290
85	340
86	
87	266
88	251
89	231
90	
91	317
92	282
93	
94	100
95	242
96	275
97	
98	287
99	339
100	
101	276
102	222
103	294
104	
105	332
106	346
107	
108	259
109	297
110	212
111	
112	313
113	347
114	
115	220
116	213
117	242
118	
119	331
120	329
121	
122	243
123	291
124	215
125	
126	343
127	316
128	
129	301
130	278
131	258
132	
133	333
134	333
135	
136	234
137	310
138	207
139	
140	340
141	343
142	
143	245
144	227
145	248
146	
147	290
148	323
149	
150	205
151	240
152	259
153	
154	341
155	332
156	
157	269
158	225
159	201
160	
161	341
162	324
163	
164	219
165	248
166	262
167	
168	286
169	321
170	
171	308
172	276
173	229
174	
175	316
176	324
177	
178	268
179	277
180	217
181	
182	334
183	285
184	
185	210
186	204
187	276
188	
189	281
190	342
191	
192	244
193	275
194	256
195	
