time	routeID
0	290
1	313
2	
3	305
4	228
5	236
6	
7	326
8	339
9	
10	214
11	306
12	309
13	
14	290
15	321
16	
17	206
18	274
19	222
20	
21	344
22	323
23	
24	205
25	303
26	272
27	
28	340
29	316
30	
31	242
32	302
33	225
34	
35	334
36	327
37	
38	253
39	278
40	310
41	
42	339
43	316
44	
45	299
46	243
47	279
48	
49	318
50	286
51	
52	252
53	242
54	262
55	
56	289
57	281
58	
59	273
60	219
61	236
62	
63	327
64	348
65	
66	233
67	246
68	293
69	
70	328
71	331
72	
73	301
74	254
75	226
76	
77	347
78	344
79	
80	250
81	215
82	235
83	
84	319
85	332
86	
87	268
88	305
89	240
90	
91	313
92	348
93	
94	259
95	231
96	296
97	
98	317
99	313
100	
101	216
102	258
103	242
104	
105	311
106	347
107	
108	254
109	232
110	211
111	
112	289
113	325
114	
115	266
116	239
117	205
118	
119	314
120	347
121	
122	224
123	220
124	230
125	
126	317
127	316
128	
129	275
130	277
131	275
132	
133	319
134	328
135	
136	250
137	295
138	269
139	
140	281
141	285
142	
143	218
144	303
145	225
146	
147	341
148	328
149	
150	256
151	220
152	304
153	
154	322
155	335
156	
157	210
158	296
159	243
160	
161	328
162	337
163	
164	230
165	256
166	231
167	
168	286
169	321
170	
171	291
172	207
173	277
174	
175	341
176	350
177	
178	205
179	269
180	201
181	
182	334
183	321
184	
185	214
186	204
187	219
188	
189	287
190	124
191	
192	218
193	217
194	215
195	
